"","x"
"2278",-95
"2279",-105
"2280",-105
"2281",-110
"2282",-112
"2283",-112
"2284",-115
"2285",-112
"2286",-107
"2287",-107
"2288",-110
"2289",-105
"2290",-110
"2291",-100
"2292",-95
"2293",-105
"2294",-103
"2295",-100
"2296",-93
"2297",-83
"2298",-85
"2299",-76
"2300",-66
"2301",-68
"2302",-76
"2303",-78
"2304",-81
"2305",-88
"2306",-88
"2307",-90
"2308",-83
"2309",-85
"2310",-85
"2311",-93
"2312",-93
"2313",-95
"2314",-98
"2315",-95
"2316",-100
"2317",-95
"2318",-90
"2319",-90
"2320",-93
"2321",-93
"2322",-90
"2323",-90
"2324",-85
"2325",-85
"2326",-78
"2327",-73
"2328",-73
"2329",-73
"2330",-73
"2331",-68
"2332",-71
"2333",-78
"2334",-73
"2335",-68
"2336",-66
"2337",-73
"2338",-68
"2339",-73
"2340",-71
"2341",-71
"2342",-81
"2343",-83
"2344",-88
"2345",-90
"2346",-83
"2347",-71
"2348",-66
"2349",-66
"2350",-66
"2351",-71
"2352",-73
"2353",-78
"2354",-88
"2355",-88
"2356",-93
"2357",-95
"2358",-100
"2359",-98
"2360",-100
"2361",-181
"2362",-266
"2363",-168
"2364",361
"2365",1060
"2366",974
"2367",378
"2368",76
"2369",-15
"2370",-68
"2371",-125
"2372",-144
"2373",-149
"2374",-151
"2375",-149
"2376",-144
"2377",-142
"2378",-139
"2379",-134
"2380",-132
"2381",-137
"2382",-139
"2383",-142
"2384",-139
"2385",-134
"2386",-134
"2387",-132
"2388",-139
"2389",-139
"2390",-134
"2391",-134
"2392",-132
"2393",-134
"2394",-132
"2395",-125
"2396",-120
"2397",-110
"2398",-100
"2399",-90
"2400",-68
"2401",-56
"2402",-34
"2403",-12
"2404",5
"2405",15
"2406",24
"2407",7
"2408",-10
"2409",-27
"2410",-44
"2411",-59
"2412",-71
"2413",-83
"2414",-90
"2415",-98
"2416",-100
"2417",-98
"2418",-93
"2419",-90
"2420",-100
"2421",-105
"2422",-107
"2423",-105
"2424",-103
"2425",-107
"2426",-100
"2427",-100
"2428",-103
"2429",-100
"2430",-103
"2431",-103
"2432",-100
"2433",-100
"2434",-105
"2435",-107
"2436",-110
"2437",-110
"2438",-105
"2439",-105
"2440",-110
"2441",-110
"2442",-115
"2443",-110
"2444",-115
"2445",-112
"2446",-112
"2447",-112
"2448",-110
"2449",-110
"2450",-112
"2451",-110
"2452",-110
"2453",-110
"2454",-110
"2455",-105
"2456",-103
"2457",-103
"2458",-103
"2459",-103
"2460",-98
"2461",-93
"2462",-90
"2463",-95
"2464",-93
"2465",-95
"2466",-98
"2467",-100
"2468",-110
"2469",-110
"2470",-110
"2471",-122
"2472",-120
"2473",-122
"2474",-122
"2475",-125
"2476",-129
"2477",-129
"2478",-134
"2479",-139
"2480",-142
"2481",-149
"2482",-151
"2483",-146
"2484",-151
"2485",-156
"2486",-156
"2487",-154
"2488",-161
"2489",-171
"2490",-159
"2491",-154
"2492",-146
"2493",-144
"2494",-149
"2495",-151
"2496",-161
"2497",-164
"2498",-168
"2499",-164
"2500",-156
"2501",-156
"2502",-156
"2503",-156
"2504",-156
"2505",-215
"2506",-315
"2507",-242
"2508",264
"2509",1018
"2510",1101
"2511",476
"2512",39
"2513",-71
"2514",-156
"2515",-222
"2516",-239
"2517",-244
"2518",-254
"2519",-254
"2520",-254
"2521",-251
"2522",-251
"2523",-254
"2524",-254
"2525",-251
"2526",-259
"2527",-264
"2528",-259
"2529",-266
"2530",-273
"2531",-271
"2532",-273
"2533",-278
"2534",-276
"2535",-283
"2536",-283
"2537",-273
"2538",-266
"2539",-266
"2540",-259
"2541",-251
"2542",-244
"2543",-239
"2544",-217
