"","x"
"637",37
"638",34
"639",-17
"640",-110
"641",-63
"642",391
"643",1140
"644",1299
"645",713
"646",259
"647",134
"648",56
"649",5
"650",-7
"651",-17
"652",-20
"653",-17
"654",-10
"655",-5
"656",-2
"657",-5
"658",-10
"659",-10
"660",-10
"661",-12
"662",-10
"663",-12
"664",-15
"665",-17
"666",-20
"667",-22
"668",-20
"669",-22
"670",-17
"671",-12
"672",-10
"673",-5
"674",-2
"675",5
"676",15
"677",34
"678",49
"679",59
"680",71
"681",83
"682",93
"683",103
"684",100
"685",88
"686",76
"687",59
"688",39
"689",27
"690",22
"691",15
"692",12
"693",5
"694",2
"695",0
"696",2
"697",2
"698",2
"699",0
"700",0
"701",2
"702",7
"703",10
"704",12
"705",12
"706",17
"707",12
"708",12
"709",17
"710",15
"711",12
"712",10
"713",5
"714",5
"715",7
"716",5
"717",7
"718",5
"719",2
"720",2
"721",2
"722",2
"723",0
"724",-5
"725",-2
"726",-10
"727",-15
"728",-12
"729",-10
"730",-12
"731",-12
"732",-10
"733",-15
"734",-17
"735",-12
"736",-15
"737",-15
"738",-10
"739",-12
"740",-17
"741",-17
"742",-20
"743",-27
"744",-22
"745",-22
"746",-20
"747",-17
"748",-22
"749",-22
"750",-24
"751",-27
"752",-27
"753",-34
"754",-37
"755",-39
"756",-34
"757",-37
"758",-44
"759",-39
"760",-32
"761",-22
"762",-22
"763",-22
"764",-22
"765",-22
"766",-17
"767",-20
"768",-24
"769",-17
"770",-17
"771",-17
"772",-17
"773",-12
"774",-34
"775",-134
"776",-156
"777",137
"778",813
"779",1226
"780",808
"781",256
"782",90
"783",22
"784",-49
"785",-71
"786",-83
"787",-90
"788",-93
"789",-85
"790",-81
"791",-78
"792",-73
"793",-73
"794",-71
"795",-66
"796",-73
"797",-71
"798",-73
"799",-71
"800",-71
"801",-66
"802",-68
"803",-66
"804",-66
"805",-66
"806",-61
"807",-59
"808",-59
"809",-49
"810",-46
"811",-39
"812",-24
"813",-5
"814",10
"815",32
"816",44
"817",61
"818",83
"819",78
"820",73
"821",61
"822",54
"823",39
"824",22
"825",7
"826",-2
"827",-5
"828",-10
"829",-10
"830",-15
"831",-12
"832",-5
"833",-7
"834",-5
"835",-7
"836",-7
"837",-2
"838",2
"839",2
"840",12
"841",22
"842",20
"843",17
"844",20
"845",20
"846",22
"847",22
"848",20
"849",22
"850",27
"851",34
"852",27
