"Time","ec"
1437721202807,-54
1437721202815,-59
1437721202823,-37
1437721202831,-59
1437721202839,-51
1437721202846,-56
1437721202854,-63
1437721202862,-24
1437721202870,-24
1437721202878,-42
1437721202886,-49
1437721202894,-22
1437721202901,-49
1437721202909,-78
1437721202917,-61
1437721202925,-61
1437721202933,-56
1437721202941,-49
1437721202948,-37
1437721202956,-37
1437721202964,-22
1437721202972,-37
1437721202980,-39
1437721202988,-34
1437721202995,-27
1437721203003,-27
1437721203011,-34
1437721203019,-44
1437721203027,-51
1437721203035,-56
1437721203042,-46
1437721203050,-37
1437721203058,-51
1437721203066,-61
1437721203073,-59
1437721203081,-44
1437721203089,-56
1437721203096,-49
1437721203104,-42
1437721203112,-34
1437721203120,-39
1437721203128,-37
1437721203136,-37
1437721203143,-34
1437721203151,-5
1437721203159,-17
1437721203167,-20
1437721203175,-37
1437721203183,-44
1437721203190,-34
1437721203198,-17
1437721203206,-17
1437721203214,-34
1437721203222,-29
1437721203230,-34
1437721203237,-71
1437721203245,-171
1437721203253,-186
1437721203261,171
1437721203269,869
1437721203277,1270
1437721203284,847
1437721203292,347
1437721203300,132
1437721203308,-20
1437721203316,-29
1437721203324,-44
1437721203331,-88
1437721203339,-98
1437721203347,-81
1437721203355,-78
1437721203363,-76
1437721203371,-71
1437721203378,-78
1437721203386,-59
1437721203394,-71
1437721203402,-127
1437721203410,-134
1437721203418,-103
1437721203425,-95
1437721203433,-95
1437721203441,-85
1437721203449,-76
1437721203457,-88
1437721203465,-122
1437721203472,-103
1437721203480,-103
1437721203488,-125
1437721203496,-105
1437721203504,-105
1437721203511,-105
1437721203519,-105
1437721203527,-95
1437721203535,-88
1437721203543,-93
1437721203551,-83
1437721203558,-61
1437721203566,-44
1437721203574,-51
1437721203582,-42
1437721203590,-27
1437721203598,-56
1437721203605,-63
1437721203613,-29
1437721203621,-29
1437721203629,-39
1437721203637,-37
1437721203645,-71
1437721203652,-54
1437721203660,-39
1437721203668,-61
1437721203676,-27
1437721203684,-61
1437721203692,-44
1437721203699,-20
1437721203707,-54
1437721203715,-32
1437721203723,0
1437721203731,-27
1437721203739,-63
1437721203746,-34
1437721203754,-22
1437721203762,-20
1437721203770,-22
1437721203778,-15
1437721203786,-22
1437721203793,-49
1437721203801,-44
1437721203809,-27
1437721203817,-44
1437721203825,-63
1437721203833,-39
1437721203840,-34
1437721203848,-61
1437721203856,-61
1437721203864,-34
1437721203872,-51
1437721203880,-46
1437721203888,-39
1437721203896,-44
1437721203903,-39
1437721203911,-44
1437721203919,-44
1437721203927,-42
1437721203935,-37
1437721203943,-39
1437721203951,-44
1437721203959,-12
1437721203967,-24
1437721203974,-61
1437721203982,-32
1437721203990,-37
1437721203998,-29
1437721204006,-34
1437721204014,-51
1437721204022,-42
1437721204030,-49
1437721204038,-32
1437721204045,-22
1437721204053,-22
1437721204061,-15
1437721204069,-22
1437721204077,-39
1437721204085,-7
1437721204093,-51
1437721204101,-66
1437721204109,-12
1437721204116,-22
1437721204124,-54
1437721204132,-42
1437721204140,-49
1437721204148,-149
1437721204156,-183
1437721204164,112
1437721204172,725
1437721204180,1101
1437721204187,754
1437721204195,271
1437721204203,107
1437721204211,5
1437721204219,-68
1437721204227,-88
1437721204235,-83
1437721204243,-54
1437721204251,-63
1437721204259,-112
1437721204266,-100
1437721204274,-81
1437721204282,-73
1437721204290,-95
1437721204298,-107
1437721204306,-95
1437721204314,-100
1437721204322,-103
1437721204330,-98
1437721204337,-83
1437721204345,-83
1437721204353,-105
1437721204361,-95
1437721204369,-95
1437721204377,-100
1437721204385,-98
1437721204393,-100
1437721204401,-95
1437721204408,-105
1437721204416,-100
1437721204424,-95
1437721204432,-73
1437721204440,-88
1437721204448,-117
1437721204456,-95
1437721204464,-71
1437721204472,-85
1437721204479,-90
1437721204487,-66
1437721204495,-59
1437721204503,-68
1437721204511,-44
1437721204519,-56
1437721204527,-51
1437721204535,-49
1437721204543,-78
1437721204550,-68
1437721204558,-51
1437721204566,-49
1437721204574,-66
1437721204582,-51
1437721204590,-61
1437721204598,-83
1437721204606,-49
1437721204614,-51
1437721204621,-83
1437721204629,-61
1437721204637,-51
1437721204645,-68
1437721204653,-49
1437721204660,-68
1437721204668,-85
1437721204676,-49
1437721204684,-49
1437721204691,-61
1437721204699,-61
1437721204707,-49
1437721204715,-66
1437721204723,-73
1437721204731,-46
1437721204739,-51
1437721204747,-93
1437721204754,-93
1437721204762,-66
1437721204770,-63
1437721204778,-56
1437721204786,-56
1437721204794,-56
1437721204802,-44
1437721204810,-44
1437721204817,-27
1437721204825,-32
1437721204833,-32
1437721204841,-24
1437721204849,-42
1437721204857,-59
1437721204865,-49
1437721204872,-39
1437721204880,-42
1437721204888,-51
1437721204896,-76
1437721204904,-51
1437721204912,-32
